S.no	Site code	Region	Site name	Customer Group	Site Status	Supervisor	ASSISTANT MANAGER	MANAGER	SR MANAGER	JANUARY 2026 BILLING	JANUARY 2026 EXPENSE	JANUARY 2026 Consumption Value	FEBRUARY 2026 BILLING	FEBRUARY 2026 EXPENSE	FEBRUARY 2026 Consumption Value	MARCH 2026 Billing	MARCH 2026 EXPENSE	March 2026 Consumption Value	APRIL 2026 Billing	APRIL 2026 Expense	April 2026 Consumption Value	MAY 2026 BILLING	MAY 2026 Expense	May 2026 Consumption Value	June 2026 BILLING	June 2026 Expense	June 2026 Consumption Value	July 2026 BILLING	July 2026 Expense	July 2026 Consumption Value	Code	Average Monthly Consumption	Average Monthly Billing	Average Manpower Expense	AVERAGE EXPENSE	AVG GROSS MARGIN	Aug 2026 BILLING	Aug 2026 Expense	Aug 2026 Consumption Value
11	ST-EA-1	EAST	EAST Site Facility 1	IT Parks	Active	Ramesh Babu	Amit Roy	Praveen Sharma	Rajesham V.	450000	225000	157500	450000	225000	157500	450000	225000	157500	450000	225000	157500	450000	225000	157500	450000	225000	157500	450000	225000	157500	ST-EA-1	157500	450000	225000	382500	25.0%	450000	225000	157500
12	ST-EA-2	EAST	EAST Site Facility 2	Healthcare	Active	Ganesh Chary	Kavita Reddy	Deepak Verma	Sunil Kumar	500000	250000	175000	500000	250000	175000	500000	250000	175000	500000	250000	175000	500000	250000	175000	500000	250000	175000	500000	250000	175000	ST-EA-2	175000	500000	250000	425000	25.0%	500000	250000	175000
13	ST-EA-3	EAST	EAST Site Facility 3	Retail Outlets	Active	Srinivas K.	Nikhil Nair	Sanjay Patel	Anitha Rao	550000	275000	22000	550000	275000	22000	550000	275000	22000	550000	275000	22000	550000	275000	22000	550000	275000	22000	550000	275000	22000	ST-EA-3	22000	550000	275000	297000	25.0%	550000	275000	22000
14	ST-EA-4	EAST	EAST Site Facility 4	Manufacturing	Active	Mahesh Y.	Suresh Das	Ritu Gupta	Vikramaditya Singh	600000	300000	24000	600000	300000	24000	600000	300000	24000	600000	300000	24000	600000	300000	24000	600000	300000	24000	600000	300000	24000	ST-EA-4	24000	600000	300000	324000	25.0%	600000	300000	24000
15	ST-EA-5	EAST	EAST Site Facility 5	Commercial Hubs	Active	Dharmendra P.	Neha Kapoor	Manish Joshi	Rajesham V.	650000	325000	26000	650000	325000	26000	650000	325000	26000	650000	325000	26000	650000	325000	26000	650000	325000	26000	650000	325000	26000	ST-EA-5	26000	650000	325000	351000	25.0%	650000	325000	26000
16	ST-WE-1	WEST	WEST Site Facility 1	IT Parks	Active	Ramesh Babu	Amit Roy	Praveen Sharma	Rajesham V.	450000	225000	157500	450000	225000	157500	450000	225000	157500	450000	225000	157500	450000	225000	157500	450000	225000	157500	450000	225000	157500	ST-WE-1	157500	450000	225000	382500	25.0%	450000	225000	157500
17	ST-WE-2	WEST	WEST Site Facility 2	Healthcare	Active	Ganesh Chary	Kavita Reddy	Deepak Verma	Sunil Kumar	500000	250000	175000	500000	250000	175000	500000	250000	175000	500000	250000	175000	500000	250000	175000	500000	250000	175000	500000	250000	175000	ST-WE-2	175000	500000	250000	425000	25.0%	500000	250000	175000
18	ST-WE-3	WEST	WEST Site Facility 3	Retail Outlets	Active	Srinivas K.	Nikhil Nair	Sanjay Patel	Anitha Rao	550000	275000	22000	550000	275000	22000	550000	275000	22000	550000	275000	22000	550000	275000	22000	550000	275000	22000	550000	275000	22000	ST-WE-3	22000	550000	275000	297000	25.0%	550000	275000	22000
19	ST-WE-4	WEST	WEST Site Facility 4	Manufacturing	Active	Mahesh Y.	Suresh Das	Ritu Gupta	Vikramaditya Singh	600000	300000	24000	600000	300000	24000	600000	300000	24000	600000	300000	24000	600000	300000	24000	600000	300000	24000	600000	300000	24000	ST-WE-4	24000	600000	300000	324000	25.0%	600000	300000	24000
20	ST-WE-5	WEST	WEST Site Facility 5	Commercial Hubs	Active	Dharmendra P.	Neha Kapoor	Manish Joshi	Rajesham V.	650000	325000	26000	650000	325000	26000	650000	325000	26000	650000	325000	26000	650000	325000	26000	650000	325000	26000	650000	325000	26000	ST-WE-5	26000	650000	325000	351000	25.0%	650000	325000	26000
21	ST-CE-1	CENTRAL	CENTRAL Site Facility 1	IT Parks	Active	Ramesh Babu	Amit Roy	Praveen Sharma	Rajesham V.	450000	225000	157500	450000	225000	157500	450000	225000	157500	450000	225000	157500	450000	225000	157500	450000	225000	157500	450000	225000	157500	ST-CE-1	157500	450000	225000	382500	25.0%	450000	225000	157500
22	ST-CE-2	CENTRAL	CENTRAL Site Facility 2	Healthcare	Active	Ganesh Chary	Kavita Reddy	Deepak Verma	Sunil Kumar	500000	250000	175000	500000	250000	175000	500000	250000	175000	500000	250000	175000	500000	250000	175000	500000	250000	175000	500000	250000	175000	ST-CE-2	175000	500000	250000	425000	25.0%	500000	250000	175000
23	ST-CE-3	CENTRAL	CENTRAL Site Facility 3	Retail Outlets	Active	Srinivas K.	Nikhil Nair	Sanjay Patel	Anitha Rao	550000	275000	22000	550000	275000	22000	550000	275000	22000	550000	275000	22000	550000	275000	22000	550000	275000	22000	550000	275000	22000	ST-CE-3	22000	550000	275000	297000	25.0%	550000	275000	22000
24	ST-CE-4	CENTRAL	CENTRAL Site Facility 4	Manufacturing	Active	Mahesh Y.	Suresh Das	Ritu Gupta	Vikramaditya Singh	600000	300000	24000	600000	300000	24000	600000	300000	24000	600000	300000	24000	600000	300000	24000	600000	300000	24000	600000	300000	24000	ST-CE-4	24000	600000	300000	324000	25.0%	600000	300000	24000
25	ST-CE-5	CENTRAL	CENTRAL Site Facility 5	Commercial Hubs	Active	Dharmendra P.	Neha Kapoor	Manish Joshi	Rajesham V.	650000	325000	26000	650000	325000	26000	650000	325000	26000	650000	325000	26000	650000	325000	26000	650000	325000	26000	650000	325000	26000	ST-CE-5	26000	650000	325000	351000	25.0%	650000	325000	26000
